CacheSize,BlockSize,Associativity,WritePolicy,WriteMissPolicy,EvictPolicy,TotalReads,ReadMisses,TotalWrites,WriteMisses,TotalLatency
1024,64,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,8552,65042,8284,16723534
1024,64,8,--WriteBack,--WriteAllocate,--LRU,112576,6978,65042,1885,3229834
1024,64,8,--WriteBack,--NoWriteAllocate,--LRU,112576,7426,65042,7762,4369434
1024,64,8,--WriteThrough,--WriteAllocate,--LRU,112576,6978,65042,1885,16791954
1024,64,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,7426,65042,7762,16475814
1024,64,16,--WriteBack,--WriteAllocate,--LRU,112576,6125,65042,1857,3003234
1024,64,16,--WriteBack,--NoWriteAllocate,--LRU,112576,6208,65042,7971,4110274
1024,64,16,--WriteThrough,--WriteAllocate,--LRU,112576,6125,65042,1857,16598134
1024,64,16,--WriteThrough,--NoWriteAllocate,--LRU,112576,6208,65042,7971,16207854
1024,128,1,--WriteBack,--WriteAllocate,--LRU,112576,19881,65042,4537,7853574
1024,128,1,--WriteBack,--NoWriteAllocate,--LRU,112576,21100,65042,15241,9751954
1024,128,1,--WriteThrough,--WriteAllocate,--LRU,112576,19881,65042,4537,20214054
1024,128,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,21100,65042,15241,19484094
1024,128,2,--WriteBack,--WriteAllocate,--LRU,112576,12029,65042,2115,4710874
1024,128,2,--WriteBack,--NoWriteAllocate,--LRU,112576,12473,65042,9545,6068274
1024,128,2,--WriteThrough,--WriteAllocate,--LRU,112576,12029,65042,2115,17953774
1024,128,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,12473,65042,9545,17586154
1024,128,4,--WriteBack,--WriteAllocate,--LRU,112576,10932,65042,2059,4315974
1024,128,4,--WriteBack,--NoWriteAllocate,--LRU,112576,11607,65042,9814,5893594
1024,128,4,--WriteThrough,--WriteAllocate,--LRU,112576,10932,65042,2059,17700114
1024,128,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,11607,65042,9814,17395634
1024,128,8,--WriteBack,--WriteAllocate,--LRU,112576,10212,65042,2157,4214994
1024,128,8,--WriteBack,--NoWriteAllocate,--LRU,112576,10381,65042,9257,5507934
1024,128,8,--WriteThrough,--WriteAllocate,--LRU,112576,10212,65042,2157,17563274
1024,128,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,10381,65042,9257,17125914
1024,256,1,--WriteBack,--WriteAllocate,--LRU,112576,25099,65042,5321,9556374
1024,256,1,--WriteBack,--NoWriteAllocate,--LRU,112576,25677,65042,15618,11018494
1024,256,1,--WriteThrough,--WriteAllocate,--LRU,112576,25099,65042,5321,21534494
1024,256,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,25677,65042,15618,20491034
1024,256,2,--WriteBack,--WriteAllocate,--LRU,112576,15326,65042,2792,5923294
1024,256,2,--WriteBack,--NoWriteAllocate,--LRU,112576,16260,65042,10201,7349994
1024,256,2,--WriteThrough,--WriteAllocate,--LRU,112576,15326,65042,2792,18828054
1024,256,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,16260,65042,10201,18419294
1024,256,4,--WriteBack,--WriteAllocate,--LRU,112576,13675,65042,2723,5426974
1024,256,4,--WriteBack,--NoWriteAllocate,--LRU,112576,14578,65042,12190,7340534
1024,256,4,--WriteThrough,--WriteAllocate,--LRU,112576,13675,65042,2723,18449654
1024,256,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,14578,65042,12190,18049254
1024,512,1,--WriteBack,--WriteAllocate,--LRU,112576,33471,65042,7211,12301754
1024,512,1,--WriteBack,--NoWriteAllocate,--LRU,112576,32292,65042,16950,12778494
1024,512,1,--WriteThrough,--WriteAllocate,--LRU,112576,33471,65042,7211,23792134
1024,512,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,32292,65042,16950,21946334
1024,512,2,--WriteBack,--WriteAllocate,--LRU,112576,24921,65042,5992,9562534
1024,512,2,--WriteBack,--NoWriteAllocate,--LRU,112576,25198,65042,16573,10895954
1024,512,2,--WriteThrough,--WriteAllocate,--LRU,112576,24921,65042,5992,21642954
1024,512,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,25198,65042,16573,20385654
2048,16,1,--WriteBack,--WriteAllocate,--LRU,112576,9163,65042,4092,4740794
2048,16,1,--WriteBack,--NoWriteAllocate,--LRU,112576,10637,65042,8348,5397494
2048,16,1,--WriteThrough,--WriteAllocate,--LRU,112576,9163,65042,4092,17758194
2048,16,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,10637,65042,8348,17182234
2048,16,2,--WriteBack,--WriteAllocate,--LRU,112576,5412,65042,2693,3156354
2048,16,2,--WriteBack,--NoWriteAllocate,--LRU,112576,5909,65042,6110,3609114
2048,16,2,--WriteThrough,--WriteAllocate,--LRU,112576,5412,65042,2693,16625194
2048,16,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,5909,65042,6110,16142074
2048,16,4,--WriteBack,--WriteAllocate,--LRU,112576,3117,65042,2158,2262494
2048,16,4,--WriteBack,--NoWriteAllocate,--LRU,112576,3998,65042,5487,2872774
2048,16,4,--WriteThrough,--WriteAllocate,--LRU,112576,3117,65042,2158,16002594
2048,16,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,3998,65042,5487,15721654
2048,16,8,--WriteBack,--WriteAllocate,--LRU,112576,2920,65042,2133,2198034
2048,16,8,--WriteBack,--NoWriteAllocate,--LRU,112576,3780,65042,5422,2795994
2048,16,8,--WriteThrough,--WriteAllocate,--LRU,112576,2920,65042,2133,15953754
2048,16,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,3780,65042,5422,15673694
2048,16,16,--WriteBack,--WriteAllocate,--LRU,112576,2846,65042,2102,2163054
2048,16,16,--WriteBack,--NoWriteAllocate,--LRU,112576,3687,65042,5383,2754854
2048,16,16,--WriteThrough,--WriteAllocate,--LRU,112576,2846,65042,2102,15930654
2048,16,16,--WriteThrough,--NoWriteAllocate,--LRU,112576,3687,65042,5383,15653234
2048,16,32,--WriteBack,--WriteAllocate,--LRU,112576,2802,65042,2082,2144354
2048,16,32,--WriteBack,--NoWriteAllocate,--LRU,112576,3604,65042,5333,2720094
2048,16,32,--WriteThrough,--WriteAllocate,--LRU,112576,2802,65042,2082,15916574
2048,16,32,--WriteThrough,--NoWriteAllocate,--LRU,112576,3604,65042,5333,15634974
2048,32,1,--WriteBack,--WriteAllocate,--LRU,112576,9231,65042,2891,4281654
2048,32,1,--WriteBack,--NoWriteAllocate,--LRU,112576,10334,65042,8751,5414874
2048,32,1,--WriteThrough,--WriteAllocate,--LRU,112576,9231,65042,2891,17508934
2048,32,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,10334,65042,8751,17115574
2048,32,2,--WriteBack,--WriteAllocate,--LRU,112576,5136,65042,1696,2671254
2048,32,2,--WriteBack,--NoWriteAllocate,--LRU,112576,5321,65042,5763,3374154
2048,32,2,--WriteThrough,--WriteAllocate,--LRU,112576,5136,65042,1696,16345134
2048,32,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,5321,65042,5763,16012714
2048,32,4,--WriteBack,--WriteAllocate,--LRU,112576,2910,65042,1276,1867374
