CacheSize,BlockSize,Associativity,WritePolicy,WriteMissPolicy,EvictPolicy,TotalReads,ReadMisses,TotalWrites,WriteMisses,TotalLatency
1024,16,1,--WriteBack,--WriteAllocate,--LRU,274303,15930,196758,10008,10231223
1024,16,1,--WriteBack,--NoWriteAllocate,--LRU,274303,20776,196758,17535,11676403
1024,16,1,--WriteThrough,--WriteAllocate,--LRU,274303,15930,196758,10008,50406303
1024,16,1,--WriteThrough,--NoWriteAllocate,--LRU,274303,20776,196758,17535,49270663
1024,16,2,--WriteBack,--WriteAllocate,--LRU,274303,8783,196758,6305,6674703
1024,16,2,--WriteBack,--NoWriteAllocate,--LRU,274303,11693,196758,11640,7656343
1024,16,2,--WriteThrough,--WriteAllocate,--LRU,274303,8783,196758,6305,48019303
1024,16,2,--WriteThrough,--NoWriteAllocate,--LRU,274303,11693,196758,11640,47272403
1024,16,4,--WriteBack,--WriteAllocate,--LRU,274303,7264,196758,5863,6027023
1024,16,4,--WriteBack,--NoWriteAllocate,--LRU,274303,9897,196758,10967,6954323
1024,16,4,--WriteThrough,--WriteAllocate,--LRU,274303,7264,196758,5863,47587883
1024,16,4,--WriteThrough,--NoWriteAllocate,--LRU,274303,9897,196758,10967,46877283
1024,16,8,--WriteBack,--WriteAllocate,--LRU,274303,7044,196758,5876,5979723
1024,16,8,--WriteBack,--NoWriteAllocate,--LRU,274303,9673,196758,11066,6934303
1024,16,8,--WriteThrough,--WriteAllocate,--LRU,274303,7044,196758,5876,47542343
1024,16,8,--WriteThrough,--NoWriteAllocate,--LRU,274303,9673,196758,11066,46828003
1024,16,16,--WriteBack,--WriteAllocate,--LRU,274303,6871,196758,5921,5944083
1024,16,16,--WriteBack,--NoWriteAllocate,--LRU,274303,9607,196758,11200,6958943
1024,16,16,--WriteThrough,--WriteAllocate,--LRU,274303,6871,196758,5921,47514183
1024,16,16,--WriteThrough,--NoWriteAllocate,--LRU,274303,9607,196758,11200,46813483
1024,16,32,--WriteBack,--WriteAllocate,--LRU,274303,6460,196758,5843,5783483
1024,16,32,--WriteBack,--NoWriteAllocate,--LRU,274303,9236,196758,11095,6807143
1024,16,32,--WriteThrough,--WriteAllocate,--LRU,274303,6460,196758,5843,47406603
1024,16,32,--WriteThrough,--NoWriteAllocate,--LRU,274303,9236,196758,11095,46731863
1024,32,1,--WriteBack,--WriteAllocate,--LRU,274303,16016,196758,7580,9240343
1024,32,1,--WriteBack,--NoWriteAllocate,--LRU,274303,19424,196758,18721,11483903
1024,32,1,--WriteThrough,--WriteAllocate,--LRU,274303,16016,196758,7580,49891063
1024,32,1,--WriteThrough,--NoWriteAllocate,--LRU,274303,19424,196758,18721,48973223
1024,32,2,--WriteBack,--WriteAllocate,--LRU,274303,8121,196758,4269,5635203
1024,32,2,--WriteBack,--NoWriteAllocate,--LRU,274303,10141,196758,12314,7323043
1024,32,2,--WriteThrough,--WriteAllocate,--LRU,274303,8121,196758,4269,47425743
1024,32,2,--WriteThrough,--NoWriteAllocate,--LRU,274303,10141,196758,12314,46930963
1024,32,4,--WriteBack,--WriteAllocate,--LRU,274303,6529,196758,4032,5061003
1024,32,4,--WriteBack,--NoWriteAllocate,--LRU,274303,8563,196758,12190,6808243
1024,32,4,--WriteThrough,--WriteAllocate,--LRU,274303,6529,196758,4032,47023363
1024,32,4,--WriteThrough,--NoWriteAllocate,--LRU,274303,8563,196758,12190,46583803
1024,32,8,--WriteBack,--WriteAllocate,--LRU,274303,6110,196758,3998,4929223
1024,32,8,--WriteBack,--NoWriteAllocate,--LRU,274303,8241,196758,12292,6768203
1024,32,8,--WriteThrough,--WriteAllocate,--LRU,274303,6110,196758,3998,46923703
1024,32,8,--WriteThrough,--NoWriteAllocate,--LRU,274303,8241,196758,12292,46512963
1024,32,16,--WriteBack,--WriteAllocate,--LRU,274303,6126,196758,3902,4889623
1024,32,16,--WriteBack,--NoWriteAllocate,--LRU,274303,8198,196758,12300,6752363
1024,32,16,--WriteThrough,--WriteAllocate,--LRU,274303,6126,196758,3902,46906103
1024,32,16,--WriteThrough,--NoWriteAllocate,--LRU,274303,8198,196758,12300,46503503
1024,32,32,--WriteBack,--WriteAllocate,--LRU,274303,6125,196758,3936,4901503
1024,32,32,--WriteBack,--NoWriteAllocate,--LRU,274303,8224,196758,12373,6777883
1024,32,32,--WriteThrough,--WriteAllocate,--LRU,274303,6125,196758,3936,46913363
1024,32,32,--WriteThrough,--NoWriteAllocate,--LRU,274303,8224,196758,12373,46509223
1024,64,1,--WriteBack,--WriteAllocate,--LRU,274303,18528,196758,6348,9328123
1024,64,1,--WriteBack,--NoWriteAllocate,--LRU,274303,20884,196758,17875,11590383
1024,64,1,--WriteThrough,--WriteAllocate,--LRU,274303,18528,196758,6348,50172663
1024,64,1,--WriteThrough,--NoWriteAllocate,--LRU,274303,20884,196758,17875,49294423
1024,64,2,--WriteBack,--WriteAllocate,--LRU,274303,8832,196758,3147,5326983
1024,64,2,--WriteBack,--NoWriteAllocate,--LRU,274303,10250,196758,12173,7270683
1024,64,2,--WriteThrough,--WriteAllocate,--LRU,274303,8832,196758,3147,47335323
1024,64,2,--WriteThrough,--NoWriteAllocate,--LRU,274303,10250,196758,12173,46954943
1024,64,4,--WriteBack,--WriteAllocate,--LRU,274303,6765,196758,2825,4595043
1024,64,4,--WriteBack,--NoWriteAllocate,--LRU,274303,8220,196758,11666,6548643
1024,64,4,--WriteThrough,--WriteAllocate,--LRU,274303,6765,196758,2825,46809743
1024,64,4,--WriteThrough,--NoWriteAllocate,--LRU,274303,8220,196758,11666,46508343
1024,64,8,--WriteBack,--WriteAllocate,--LRU,274303,6143,196758,2727,4398583
1024,64,8,--WriteBack,--NoWriteAllocate,--LRU,274303,7560,196758,11392,6318743
1024,64,8,--WriteThrough,--WriteAllocate,--LRU,274303,6143,196758,2727,46651343
1024,64,8,--WriteThrough,--NoWriteAllocate,--LRU,274303,7560,196758,11392,46363143
1024,64,16,--WriteBack,--WriteAllocate,--LRU,274303,5996,196758,2614,4304423
1024,64,16,--WriteBack,--NoWriteAllocate,--LRU,274303,7457,196758,11105,6215123
1024,64,16,--WriteThrough,--WriteAllocate,--LRU,274303,5996,196758,2614,46594143
1024,64,16,--WriteThrough,--NoWriteAllocate,--LRU,274303,7457,196758,11105,46340483
1024,128,1,--WriteBack,--WriteAllocate,--LRU,274303,23032,196758,6423,10564083
1024,128,1,--WriteBack,--NoWriteAllocate,--LRU,274303,25132,196758,17041,12521863
1024,128,1,--WriteThrough,--WriteAllocate,--LRU,274303,23032,196758,6423,51180043
1024,128,1,--WriteThrough,--NoWriteAllocate,--LRU,274303,25132,196758,17041,50228983
1024,128,2,--WriteBack,--WriteAllocate,--LRU,274303,10997,196758,3084,5848823
1024,128,2,--WriteBack,--NoWriteAllocate,--LRU,274303,12034,196758,11679,7555363
1024,128,2,--WriteThrough,--WriteAllocate,--LRU,274303,10997,196758,3084,47797763
